id,category_id,name,calorie,protein,fat,carbohydrate,detail,short_name
28,1,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,132,3.3,0.5,30.2,天ぷら粉39、水61加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g食物繊維：AOAC2011.25法,こむぎ
29,1,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,4.3,47.7,37,別名： 揚げ玉、天かす植物油（なたね油）調理による脂質の増減：第1章表13参照加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g食物繊維：AOAC2011.25法,こむぎ
30,1,こむぎ　［パン類］　角形食パン　食パン,248,8.9,4.1,46.4,食物繊維：AOAC2011.25法,こむぎ
31,1,こむぎ　［パン類］　角形食パン　焼き,269,9.7,4.5,50.6,食物繊維：AOAC2011.25法,こむぎ
32,1,こむぎ　［パン類］　角形食パン　耳を除いたもの,226,8.2,3.7,42.6,※ 耳の割合： 45 %、耳以外の割合 : 55 %別名：サンドイッチ用食パン食物繊維：AOAC2011.25法,こむぎ
33,1,こむぎ　［パン類］　角形食パン　耳,273,9.7,4.5,50.8,※ 耳の割合： 45 %、耳以外の割合 : 55 %食物繊維：AOAC2011.25法,こむぎ
34,1,こむぎ　［パン類］　食パン　リーンタイプ,246,8,3.7,47.5,,こむぎ
35,1,こむぎ　［パン類］　食パン　リッチタイプ,256,7.8,6,45.6,,こむぎ
36,1,こむぎ　［パン類］　山形食パン　食パン,246,7.8,3.5,47.9,別名：イギリスパン,こむぎ
37,1,こむぎ　［パン類］　コッペパン,273,9.2,3.8,54.7,食物繊維：AOAC2011.25法,こむぎ
38,1,こむぎ　［パン類］　乾パン,386,9.5,4.4,78.8,,こむぎ
39,1,こむぎ　［パン類］　フランスパン,289,9.4,1.3,57.5,,こむぎ
40,1,こむぎ　［パン類］　ライ麦パン,252,8.4,2.2,52.7,主原料配合： ライ麦粉 50 %,こむぎ
41,1,こむぎ　［パン類］　全粒粉パン,251,7.9,5.7,45.5,,こむぎ
42,1,こむぎ　［パン類］　ぶどうパン,263,8.2,3.5,51.1,,こむぎ
43,1,こむぎ　［パン類］　ロールパン,309,10.1,9,48.6,,こむぎ
44,1,こむぎ　［パン類］　クロワッサン　レギュラータイプ,406,6.5,20.4,51.5,,こむぎ
45,1,こむぎ　［パン類］　クロワッサン　リッチタイプ,438,7.9,26.8,43.9,,こむぎ
46,1,こむぎ　［パン類］　くるみパン,292,8.2,12.6,38.7,,こむぎ
47,1,こむぎ　［パン類］　イングリッシュマフィン,224,8.1,3.6,40.8,,こむぎ
48,1,こむぎ　［パン類］　ナン,257,10.3,3.4,47.6,,こむぎ
49,1,こむぎ　［パン類］　ベーグル,270,9.6,2,54.6,,こむぎ
50,1,こむぎ　［うどん・そうめん類］　うどん　生,249,6.1,0.6,56.8,きしめん、ひもかわを含む食物繊維：AOAC2011.25法,こむぎ
51,1,こむぎ　［うどん・そうめん類］　うどん　ゆで,95,2.6,0.4,21.6,きしめん、ひもかわを含む食物繊維：AOAC2011.25法,こむぎ
52,1,こむぎ　［うどん・そうめん類］　うどん　半生うどん,296,7.8,3.4,62.5,食物繊維：AOAC2011.25法,こむぎ
53,1,こむぎ　［うどん・そうめん類］　干しうどん　乾,333,8.5,1.1,71.9,,こむぎ
54,1,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117,3.1,0.5,25.8,,こむぎ
55,1,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333,9.5,1.1,72.7,,こむぎ
56,1,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114,3.5,0.4,25.8,,こむぎ
57,1,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312,9.3,1.5,68.9,,こむぎ
58,1,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119,3.5,0.6,25.5,,こむぎ
59,1,こむぎ　［中華めん類］　中華めん　生,249,8.6,1.2,55.7,食物繊維：AOAC2011.25法,こむぎ
60,1,こむぎ　［中華めん類］　中華めん　ゆで,133,4.9,0.6,29.2,食物繊維：AOAC2011.25法,こむぎ
61,1,こむぎ　［中華めん類］　半生中華めん,305,9.9,4,61.2,食物繊維：AOAC2011.25法,こむぎ
62,1,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162,4.9,1.7,35.6,食物繊維：AOAC2011.25法,こむぎ
63,1,こむぎ　［中華めん類］　蒸し中華めん  ソテー,211,5.2,4.9,38.9,食物繊維：AOAC2011.25法,こむぎ
64,1,こむぎ　［中華めん類］　干し中華めん　乾,337,11.7,1.6,70.2,食物繊維：AOAC2011.25法,こむぎ
65,1,こむぎ　［中華めん類］　干し中華めん　ゆで,131,4.9,0.5,27.5,食物繊維：AOAC2011.25法,こむぎ
66,1,こむぎ　［中華めん類］　沖縄そば　生,266,9.2,2,54.2,別名：沖縄めん,こむぎ
67,1,こむぎ　［中華めん類］　沖縄そば　ゆで,132,5.2,0.8,28,別名：沖縄めん,こむぎ
68,1,こむぎ　［中華めん類］　干し沖縄そば　乾,317,12,1.7,67.8,別名：沖縄めん,こむぎ
69,1,こむぎ　［中華めん類］　干し沖縄そば　ゆで,132,5.2,0.6,28.6,別名：沖縄めん,こむぎ
70,1,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424,10.1,16.7,63.5,別名： インスタントラーメン添付調味料等を含む,こむぎ
71,1,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439,10.1,19.1,61.4,別名： インスタントラーメン調理前のもの、添付調味料等を含む,こむぎ
72,1,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100,2.3,4.4,13.4,添付調味料等を含む01057即席中華めん、油揚げ、乾より推計,こむぎ
73,1,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189,3.9,7.7,27.9,添付調味料等を含まない食物繊維：AOAC2011.25法,こむぎ
74,1,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,453,8.9,19.6,65.5,調理前のもの、添付調味料等を除く食物繊維：AOAC2011.25法,こむぎ
75,1,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336,10.3,5.2,67.1,別名： インスタントラーメン調理前のもの、添付調味料等を含む,こむぎ
76,1,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,93,3,0.8,18.7,添付調味料等を含む01058即席中華めん、非油揚げ、乾より推計,こむぎ
77,1,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,139,3.4,0.8,31,添付調味料等を含まない食物繊維：AOAC2011.25法,こむぎ
78,1,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,334,8.5,1.9,75.2,調理前のもの、添付調味料等を除く食物繊維：AOAC2011.25法,こむぎ
79,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,422,10.9,18.5,58.6,調理前のもの、添付調味料等を含む食物繊維：AOAC2011.25法,こむぎ
80,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,92,2.5,4.2,13.2,添付調味料等を含む01193中華スタイル即席カップめん、油揚げ、塩味、乾より推計食物繊維：AOAC2011.25法,こむぎ
81,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,175,3.8,7.7,25.2,添付調味料等を含む食物繊維：AOAC2011.25法,こむぎ
82,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,417,10,19.1,54.6,調理前のもの、添付調味料等を含む食物繊維：AOAC2011.25法,こむぎ
83,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,90,2.3,4.5,12.9,添付調味料等を含む01191中華スタイル即席カップめん、油揚げ、しょうゆ味、乾より推計食物繊維：AOAC2011.25法,こむぎ
84,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,142,3,5.8,20.7,添付調味料等を含む食物繊維：AOAC2011.25法,こむぎ
85,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,418,8.2,18.6,57.5,別名： カップ焼きそば調理前のもの、添付調味料等を含む食物繊維：AOAC2011.25法,こむぎ
86,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,222,5,11.3,34.2,添付調味料等を含む01060中華スタイル即席カップめん、油揚げ、焼きそば、乾より推計食物繊維：AOAC2011.25法,こむぎ
87,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,314,9.2,5.8,62.6,別名： カップラーメン調理前のもの、添付調味料等を含む食物繊維：AOAC2011.25法,こむぎ
88,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,66,2.5,2.1,10.2,添付調味料等を含む01061中華スタイル即席カップめん、非油揚げ、乾より推計食物繊維：AOAC2011.25法,こむぎ
89,1,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,121,3.4,1.3,25.3,添付調味料等を含む食物繊維：AOAC2011.25法,こむぎ
90,1,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,437,10.9,19.8,56.1,別名： カップうどん調理前のもの、添付調味料等を含む食物繊維：AOAC2011.25法,こむぎ
91,1,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,91,2.2,4.7,11.2,添付調味料等を含む01062和風スタイル即席カップめん、油揚げ、乾より推計食物繊維：AOAC2011.25法,こむぎ
92,1,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,163,2.7,7.2,24.4,添付調味料等を含む食物繊維：AOAC2011.25法,こむぎ
93,1,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347,12.9,1.8,73.1,食物繊維：AOAC2011.25法,こむぎ
94,1,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150,5.8,0.9,32.2,1.5 %食塩水でゆでた場合食物繊維：AOAC2011.25法,こむぎ
95,1,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186,5.5,5.8,30.5,原材料配合割合： マカロニ・スパゲッティゆで95、なたね油5食物繊維：AOAC2011.25法,こむぎ
96,1,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232,7.8,1.9,46.9,デュラム小麦100 %以外のものも含むビタミンB2無添加のもの,こむぎ
97,1,こむぎ　［ふ類］　生ふ,161,12.7,0.8,26.2,,こむぎ
98,1,こむぎ　［ふ類］　焼きふ　釜焼きふ,357,28.5,2.7,56.9,平釜焼きふ（小町ふ、切りふ、おつゆふ等）及び型釜焼きふ（花ふ等）,こむぎ
99,1,こむぎ　［ふ類］　焼きふ　板ふ,351,25.6,3.3,57.3,,こむぎ
100,1,こむぎ　［ふ類］　焼きふ　車ふ,361,30.2,3.4,54.2,,こむぎ
101,1,こむぎ　［ふ類］　油ふ,547,22.7,35.3,34.4,,こむぎ
102,1,こむぎ　［その他］　小麦はいが,391,32,11.6,48.3,試料： 焙焼品,こむぎ
103,1,こむぎ　［その他］　小麦たんぱく　粉末状,398,72,9.7,10.6,,こむぎ
104,1,こむぎ　［その他］　小麦たんぱく　粒状,101,20,2,1.8,試料： 冷凍品,こむぎ
105,1,こむぎ　［その他］　小麦たんぱく　ペースト状,145,25,4.1,3.9,試料： 冷凍品,こむぎ
106,1,こむぎ　［その他］　かやきせんべい,359,10.6,1.9,75.1,別名： おつゆせんべい,こむぎ
107,1,こむぎ　［その他］　ぎょうざの皮　生,275,9.3,1.4,57,,こむぎ
108,1,こむぎ　［その他］　しゅうまいの皮　生,275,8.3,1.4,58.9,,こむぎ
109,1,こむぎ　［その他］　春巻きの皮　生,288,8.3,1.6,62.2,食物繊維：AOAC2011.25法,こむぎ
110,1,こむぎ　［その他］　春巻きの皮　揚げ,512,7.2,30.7,53.7,植物油（なたね油）調理による脂質の増減：第1章表13参照食物繊維：AOAC2011.25法,こむぎ
111,1,こむぎ　［その他］　ピザ生地,265,9.1,3,51.1,別名： ピザクラスト,こむぎ
112,1,こむぎ　［その他］　ちくわぶ,160,7.1,1.2,31.1,,こむぎ
113,1,こむぎ　［その他］　パン粉　生,277,11,5.1,47.6,(100 g：621 mL、100 mL：16.1 g),こむぎ
114,1,こむぎ　［その他］　パン粉　半生,315,12.5,5.8,54.3,,こむぎ
115,1,こむぎ　［その他］　パン粉　乾燥,349,14.9,4.1,67.4,(100 g：498 mL、100 mL：16 g)食物繊維：AOAC2011.25法,こむぎ
116,1,こむぎ　［その他］　冷めん　生,249,3.9,0.7,57.6,,こむぎ
117,1,こめ　［水稲穀粒］　玄米,346,6.8,2.7,74.3,うるち米(100 g：120 mL、100 mL：83 g),こめ
118,1,こめ　［水稲穀粒］　半つき米,345,6.5,1.8,75.9,うるち米歩留り： 95～96 %(100 g：120 mL、100 mL：83 g),こめ
119,1,こめ　［水稲穀粒］　七分つき米,348,6.3,1.5,76.6,うるち米歩留り： 92～94 %(100 g：120 mL、100 mL：83 g),こめ
120,1,こめ　［水稲穀粒］　精白米　うるち米,342,6.1,0.9,77.6,うるち米歩留り： 90～91 %(100 g：120 mL、100 mL：83 g),こめ
121,1,こめ　［水稲穀粒］　精白米　もち米,343,6.4,1.2,77.2,歩留り： 90～91 %(100 g：120 mL、100 mL：83 g),こめ
122,1,こめ　［水稲穀粒］　精白米　インディカ米,347,7.4,0.9,77.7,うるち米 歩留り： 90～91 %(100 g：120 mL、100 mL：83 g),こめ
123,1,こめ　［水稲穀粒］　はいが精米,343,6.5,2,75.8,うるち米歩留り： 91～93 %(100 g：120 mL、100 mL：83 g),こめ
124,1,こめ　［水稲穀粒］　発芽玄米,339,6.5,3.3,74.3,うるち米試料： ビタミンB1強化品含む(100 g：120 mL、100 mL：83 g),こめ
125,1,こめ　［水稲穀粒］　赤米,344,8.5,3.3,71.9,ポリフェノール：0.4ｇ食物繊維：AOAC2011.25法,こめ
126,1,こめ　［水稲穀粒］　黒米,341,7.8,3.2,72,ポリフェノール：0.5ｇ食物繊維：AOAC2011.25法,こめ
127,1,こめ　［水稲めし］　玄米,152,2.8,1,35.6,うるち米玄米47 g相当量を含む,こめ
128,1,こめ　［水稲めし］　半つき米,154,2.7,0.6,36.4,うるち米半つき米47 g相当量を含む,こめ
129,1,こめ　［水稲めし］　七分つき米,160,2.6,0.5,36.7,うるち米七分つき米47 g相当量を含む,こめ
130,1,こめ　［水稲めし］　精白米　インディカ米,184,3.8,0.4,41.5,精白米51 g相当量を含む,こめ
131,1,こめ　［水稲めし］　精白米　うるち米,156,2.5,0.3,37.1,精白米47 g相当量を含む食物繊維：AOAC2011.25法,こめ
132,1,こめ　［水稲めし］　精白米　もち米,188,3.5,0.5,43.9,精白米55 g相当量を含む,こめ
133,1,こめ　［水稲めし］　はいが精米,159,2.7,0.6,36.4,うるち米はいが精白米47 g相当量を含む,こめ
134,1,こめ　［水稲めし］　発芽玄米,161,3,1.4,35,うるち米発芽玄米47 g相当量を含む試料： ビタミンB1強化品含む,こめ
135,1,こめ　［水稲めし］　赤米,150,3.8,1.3,32.7,ポリフェノール：（0.2）ｇ食物繊維：AOAC2011.25法,こめ
136,1,こめ　［水稲めし］　黒米,150,3.6,1.4,32.2,ポリフェノール：（0.2）ｇ食物繊維：AOAC2011.25法,こめ
137,1,こめ　［水稲軟めし］　精白米,113,1.8,0.3,26.4,別名： なんはん、なんばん、やわらかめしうるち米食物繊維：AOAC2011.25法,こめ
138,1,こめ　［水稲全かゆ］　玄米,64,1.2,0.4,15.2,うるち米5倍かゆ玄米20 g相当量を含む,こめ
139,1,こめ　［水稲全かゆ］　半つき米,65,1.1,0.3,15.5,うるち米5倍かゆ半つき米20 g相当量を含む,こめ
140,1,こめ　［水稲全かゆ］　七分つき米,68,1.1,0.2,15.6,うるち米5倍かゆ七分つき米20 g相当量を含む,こめ
141,1,こめ　［水稲全かゆ］　精白米,65,1.1,0.1,15.7,うるち米5倍かゆ精白米20 g相当量を含む,こめ
142,1,こめ　［水稲五分かゆ］　玄米,32,0.6,0.2,7.6,うるち米10倍かゆ玄米10 g相当量を含む,こめ
143,1,こめ　［水稲五分かゆ］　半つき米,32,0.6,0.1,7.7,うるち米10倍かゆ半つき米10 g相当量を含む,こめ
144,1,こめ　［水稲五分かゆ］　七分つき米,32,0.6,0.1,7.7,うるち米10倍かゆ七分つき米10 g相当量を含む,こめ
145,1,こめ　［水稲五分かゆ］　精白米,33,0.5,0.1,7.9,うるち米10倍かゆ精白米10 g相当量を含む,こめ
146,1,こめ　［水稲おもゆ］　玄米,19,0.4,0.1,4.4,うるち米弱火で加熱、ガーゼでこしたもの玄米6 g相当量を含む,こめ
147,1,こめ　［水稲おもゆ］　半つき米,19,0.3,0.1,4.6,うるち米弱火で加熱、ガーゼでこしたもの半つき米6 g相当量を含む,こめ
148,1,こめ　［水稲おもゆ］　七分つき米,20,0.3,0.1,4.6,うるち米弱火で加熱、ガーゼでこしたもの七分つき米6 g相当量を含む,こめ
149,1,こめ　［水稲おもゆ］　精白米,19,0.3,0,4.7,うるち米弱火で加熱、ガーゼでこしたもの精白米6 g相当量を含む,こめ
150,1,こめ　［陸稲穀粒］　玄米,357,10.1,2.7,71.1,うるち、もちを含む,こめ
151,1,こめ　［陸稲穀粒］　半つき米,356,9.6,1.8,72.9,うるち、もちを含む歩留り： 95～96 %,こめ
152,1,こめ　［陸稲穀粒］　七分つき米,359,9.5,1.5,73.4,うるち、もちを含む歩留り： 93～94 %,こめ
153,1,こめ　［陸稲穀粒］　精白米,331,9.3,0.9,74.5,うるち、もちを含む歩留り： 90～92 %,こめ
154,1,こめ　［陸稲めし］　玄米,156,4.1,1,34.3,うるち、もちを含む玄米47 g相当量を含む,こめ
155,1,こめ　［陸稲めし］　半つき米,157,3.8,0.6,35.3,うるち、もちを含む半つき米47 g相当量を含む,こめ
156,1,こめ　［陸稲めし］　七分つき米,155,3.6,0.5,35.7,うるち、もちを含む七分つき米47 g相当量を含む,こめ
157,1,こめ　［陸稲めし］　精白米,157,3.5,0.3,36.1,うるち、もちを含む精白米47 g相当量を含む,こめ
158,1,こめ　［うるち米製品］　アルファ化米　一般用,358,6,1,84.8,,こめ
159,1,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,358,6,1,84.8,,こめ
160,1,こめ　［うるち米製品］　おにぎり,170,2.7,0.3,39.4,塩むすび（のり、具材なし）食塩0.5 gを含む,こめ
161,1,こめ　［うるち米製品］　焼きおにぎり,166,3.1,0.3,39.5,こいくちしょうゆ6.5 gを含む,こめ
162,1,こめ　［うるち米製品］　きりたんぽ,200,3.2,0.4,46.2,,こめ
163,1,こめ　［うるち米製品］　上新粉,343,6.2,0.9,78.5,(100 g：154 mL、100 mL：65 g),こめ
164,1,こめ　［うるち米製品］　玄米粉,370,7.1,2.9,84.1,焙煎あり,こめ
165,1,こめ　［うるち米製品］　米粉,356,6,0.7,81.9,(100 g：169 mL、100 mL：59 g),こめ
166,1,こめ　［うるち米製品］　米粉パン　食パン,247,10.7,5.1,41.6,,こめ
167,1,こめ　［うるち米製品］　米粉パン　ロールパン,256,8.8,6.7,42,,こめ
168,1,こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,247,3.4,3.1,51.3,試料： 小麦アレルギー対応食品（米粉100 %）,こめ
169,1,こめ　［うるち米製品］　米粉めん,252,3.6,0.7,58.4,試料： 小麦アレルギー対応食品（米粉100 %）,こめ
170,1,こめ　［うるち米製品］　ビーフン,360,7,1.6,79.9,,こめ
171,1,こめ　［うるち米製品］　ライスペーパー,339,0.5,0.3,84.3,別名： 生春巻きの皮,こめ
172,1,こめ　［うるち米製品］　米こうじ,260,5.8,1.7,59.2,,こめ
173,1,こめ　［もち米製品］　もち,223,4,0.6,50.8,,こめ
174,1,こめ　［もち米製品］　赤飯,186,4.3,0.6,41.9,別名： おこわ、こわめし原材料配合割合： もち米100、ささげ10,こめ
175,1,こめ　［もち米製品］　あくまき,131,2.3,1.8,25.7,,こめ
176,1,こめ　［もち米製品］　白玉粉,347,6.3,1,80,別名：寒晒し粉（かんざらし）,こめ
177,1,こめ　［もち米製品］　道明寺粉,349,7.1,0.7,80.4,(100 g：125 mL、100 mL：80 g),こめ
178,1,こめ　［その他］　米ぬか,374,13.4,19.6,48.8,,こめ
179,1,そば　そば粉　全層粉,339,12,3.1,69.6,表層粉の一部を除いたもの別名： 挽きぐるみ,そば
180,1,そば　そば粉　内層粉,342,6,1.6,77.6,別名： さらしな粉、ごぜん粉,そば
181,1,そば　そば粉　中層粉,334,10.2,2.7,71.6,,そば
182,1,そば　そば粉　表層粉,337,15,3.6,65.1,,そば
183,1,そば　そば米,347,9.6,2.5,73.7,別名： そばごめ、むきそば,そば
184,1,そば　そば　生,271,9.8,1.9,54.5,別名： そば切り小麦製品を原材料に含む原材料配合割合： 小麦粉65、そば粉35食物繊維：AOAC2011.25法,そば
185,1,そば　そば　ゆで,130,4.8,1,26,別名： そば切り原材料配合割合： 小麦粉65、そば粉35食物繊維：AOAC2011.25法,そば
186,1,そば　そば　半生そば,325,10.5,3.8,61.8,食物繊維：AOAC2011.25法,そば
187,1,そば　干しそば　乾,344,14,2.3,66.7,原材料配合割合： 小麦粉65、そば粉35,そば
188,1,そば　干しそば　ゆで,113,4.8,0.7,22.1,,そば
189,1,とうもろこし　玄穀　黄色種,341,8.6,5,70.6,別名： とうきび,とうもろこし
190,1,とうもろこし　玄穀　白色種,341,8.6,5,70.6,別名： とうきび,とうもろこし
191,1,とうもろこし　コーンミール　黄色種,375,8.3,4,72.4,別名： とうきび歩留り： 75～80 %,とうもろこし
192,1,とうもろこし　コーンミール　白色種,375,8.3,4,72.4,別名： とうきび歩留り： 75～80 %,とうもろこし
193,1,とうもろこし　コーングリッツ　黄色種,352,8.2,1,76.4,別名： とうきび歩留り： 44～55 %,とうもろこし
194,1,とうもろこし　コーングリッツ　白色種,352,8.2,1,76.4,別名： とうきび歩留り： 44～55 %,とうもろこし
195,1,とうもろこし　コーンフラワー　黄色種,347,6.6,2.8,76.1,別名： とうきび歩留り： 4～12 %,とうもろこし
196,1,とうもろこし　コーンフラワー　白色種,347,6.6,2.8,76.1,別名： とうきび歩留り： 4～12 %,とうもろこし
197,1,とうもろこし　ジャイアントコーン　フライ　味付け,409,5.7,11.8,76.6,別名： とうきび,とうもろこし
198,1,とうもろこし　ポップコーン,472,10.2,22.8,59.6,別名： とうきび,とうもろこし
199,1,とうもろこし　コーンフレーク,380,7.8,1.7,83.6,別名： とうきび,とうもろこし
200,1,はとむぎ　精白粒,353,13.3,1.3,72.2,歩留り： 42～45 %,はとむぎ
201,1,ひえ　精白粒,361,9.4,3.3,73.2,歩留り： 55～60 %,ひえ
202,1,もろこし　玄穀,344,10.3,4.7,71.1,別名： こうりゃん、ソルガム、たかきび、マイロ,もろこし
203,1,もろこし　精白粒,348,9.5,2.6,74.1,別名： こうりゃん、ソルガム、たかきび、マイロ歩留り： 70～80 %,もろこし
204,1,ライむぎ　全粒粉,317,12.7,2.7,70.7,別名：黒麦（くろむぎ）,ライむぎ
205,1,ライむぎ　ライ麦粉,324,8.5,1.6,75.8,別名:黒麦（くろむぎ）歩留り： 65～75 %,ライむぎ
206,2,＜いも類＞　アメリカほどいも　塊根　生,146,5.9,0.6,35.6,別名： アピオス廃棄部位： 表層及び両端食物繊維：AOAC2011.25法,アメリカほどいも
